,Name,region,country,type,url
4474,Al Ghurair University,Asia,are,Universities (academic only),http://dx.doi.org/10.13039/100007575
4475,Alabama Farmers Federation,Americas,usa,Associations and societies (private and public),http://dx.doi.org/10.13039/100007576
4476,"Soybeans Division, Alabama Farmers Federation",Americas,usa,Associations and societies (private and public),http://dx.doi.org/10.13039/100007577
4477,"Alabama Wheat and Feed Grain Producers, Alabama Farmers Federation",Americas,usa,Associations and societies (private and public),http://dx.doi.org/10.13039/100007578
4478,Auburn University,Americas,usa,Universities (academic only),http://dx.doi.org/10.13039/100007579
4479,Alabama WRRI,Americas,usa,Local government,http://dx.doi.org/10.13039/100007580
4480,Alberta Cancer Board,Americas,can,Associations and societies (private and public),http://dx.doi.org/10.13039/100007581
4481,Alberta Health Services,Americas,can,Associations and societies (private and public),http://dx.doi.org/10.13039/100007582
4482,Alberta Conservation Association,Americas,can,Associations and societies (private and public),http://dx.doi.org/10.13039/100007583
4483,Alberta Ingenuity Centre for Water Research,Americas,can,Local government,http://dx.doi.org/10.13039/100007584
4484,AWRI,Americas,can,Local government,http://dx.doi.org/10.13039/100007585
4485,AMU,Europe,fra,Local government,http://dx.doi.org/10.13039/100007586
4486,Fondation AMU,Europe,fra,"Trusts, charities, foundations (both public and private)",http://dx.doi.org/10.13039/100007587
4487,Wazzu,Americas,usa,Universities (academic only),http://dx.doi.org/10.13039/100007588
4488,CDE,Americas,usa,Local government,http://dx.doi.org/10.13039/100007589
4489,CDPHE,Americas,usa,Local government,http://dx.doi.org/10.13039/100007590
4490,Akiyama Life Science Foundation,Asia,jpn,"Trusts, charities, foundations (both public and private)",http://dx.doi.org/10.13039/100007591
4491,Al-Balqa' Applied University,Asia,jor,Universities (academic only),http://dx.doi.org/10.13039/100007592
4492,"College of Agricultural, Human and Natural Resource Sciences, Washington State University",Americas,usa,Universities (academic only),http://dx.doi.org/10.13039/100007593
4493,Univerzita Komenského v Bratislave,Europe,svk,Local government,http://dx.doi.org/10.13039/100007594
4494,Belarusian Republican Foundation for Fundamental Research,Europe,blr,"Trusts, charities, foundations (both public and private)",http://dx.doi.org/10.13039/100007595
4495,Blood Donors in Denmark,Europe,dnk,Other non-profit organizations,http://dx.doi.org/10.13039/100007596
4496,Denmark Voluntary Blood Donors,Europe,dnk,Other non-profit organizations,http://dx.doi.org/10.13039/100007597
4497,Te Kaporeihana Āwhina Hunga Whara,Oceania,nzl,For-profit companies (industry),http://dx.doi.org/10.13039/100007598
4498,Agropolis Fondation,Europe,fra,"Trusts, charities, foundations (both public and private)",http://dx.doi.org/10.13039/100007599
4499,Association of British Paediatric Nurses,Europe,gbr,Other non-profit organizations,http://dx.doi.org/10.13039/100007600
4500,The Bourns College of Engineering,Americas,usa,Universities (academic only),http://dx.doi.org/10.13039/100007601
4501,"The University of California, Riverside",Americas,usa,Universities (academic only),http://dx.doi.org/10.13039/100007602
4502,Bowland Charitable Trust,Europe,gbr,"Trusts, charities, foundations (both public and private)",http://dx.doi.org/10.13039/100007603
4503,Boyce Thompson Institute for Plant Research,Americas,usa,Other non-profit organizations,http://dx.doi.org/10.13039/100007604
4504,Aarhus University,Europe,dnk,Universities (academic only),http://dx.doi.org/10.13039/100007605
4505,Aarhus University Hospital,Europe,dnk,Other non-profit organizations,http://dx.doi.org/10.13039/100007606
4506,"University Research Council, Aga Khan University",Asia,pak,Universities (academic only),http://dx.doi.org/10.13039/100007607
4507,AgResearch Limited,Oceania,nzl,Local government,http://dx.doi.org/10.13039/100007608
4508,"Agrotain Company, LLC",Americas,usa,For-profit companies (industry),http://dx.doi.org/10.13039/100007609
4509,AWC,Oceania,nzl,Other non-profit organizations,http://dx.doi.org/10.13039/100007610
4510,AMF,Americas,can,For-profit companies (industry),http://dx.doi.org/10.13039/100007611
4511,Animal Health Trust,Europe,gbr,Other non-profit organizations,http://dx.doi.org/10.13039/100007612
4512,Ankara Üniversitesi,Asia,tur,Universities (academic only),http://dx.doi.org/10.13039/100007613
4513,"Biotechnology Institute, Ankara University",Asia,tur,Universities (academic only),http://dx.doi.org/10.13039/100007614
4514,CEED,Oceania,aus,Local government,http://dx.doi.org/10.13039/100007615
4515,Wright Medical Group,Americas,usa,For-profit companies (industry),http://dx.doi.org/10.13039/100007616
4516,BioMimetic,Americas,usa,For-profit companies (industry),http://dx.doi.org/10.13039/100007617
4517,University of Chicago Booth School of Business,Americas,usa,Universities (academic only),http://dx.doi.org/10.13039/100007618
4518,Society of Academic Emergency Medicine,Americas,usa,Universities (academic only),http://dx.doi.org/10.13039/100007619
4519,Erasmus Research Institute of Management,Europe,nld,Universities (academic only),http://dx.doi.org/10.13039/100007620
4520,Australian International Education Foundation,Oceania,aus,"Trusts, charities, foundations (both public and private)",http://dx.doi.org/10.13039/100007621
4521,"Australian Education International, Australian Government",Oceania,aus,National government,http://dx.doi.org/10.13039/100007622
4522,Emory University School of Medicine,Americas,usa,Universities (academic only),http://dx.doi.org/10.13039/100007623
4523,EEC,Americas,usa,Other non-profit organizations,http://dx.doi.org/10.13039/100007624
4524,Cure Alzheimer's Fund,Americas,usa,"Trusts, charities, foundations (both public and private)",http://dx.doi.org/10.13039/100007625
4525,"MTA, SZTAKI",Europe,hun,Universities (academic only),http://dx.doi.org/10.13039/100007626
4526,The Common Fund for Commodities,Europe,nld,For-profit companies (industry),http://dx.doi.org/10.13039/100007627
4527,CET,Europe,gbr,Other non-profit organizations,http://dx.doi.org/10.13039/100007628
4528,Columbia River Inter-Tribal Fish Commission,Americas,usa,Local government,http://dx.doi.org/10.13039/100007629
4529,College of Engineering and Informatics,Europe,irl,Universities (academic only),http://dx.doi.org/10.13039/100007630
4530,L'Institut Canadien de Recherches Avancées,Americas,can,Research institutes and centers,http://dx.doi.org/10.13039/100007631
4531,Futaba Electronics Memorial Foundation,Asia,jpn,"Trusts, charities, foundations (both public and private)",http://dx.doi.org/10.13039/100007632
4532,Foundation for Strategic Environmental Research,Europe,swe,"Trusts, charities, foundations (both public and private)",http://dx.doi.org/10.13039/100007633
4533,Ida Montin Foundation,Europe,fin,"Trusts, charities, foundations (both public and private)",http://dx.doi.org/10.13039/100007634
4534,FSR,Europe,fra,"Trusts, charities, foundations (both public and private)",http://dx.doi.org/10.13039/100007635
4535,German Federal Environmental Foundation,Europe,deu,"Trusts, charities, foundations (both public and private)",http://dx.doi.org/10.13039/100007636
4536,"Departamento Administrativo de Ciência, Tecnologia e Inovação",Americas,col,National government,http://dx.doi.org/10.13039/100007637
4537,PHCRED,Oceania,aus,National government,http://dx.doi.org/10.13039/100007638
4538,CTSI,Americas,usa,National government,http://dx.doi.org/10.13039/100007639
4539,Landsvirkjun,Europe,isl,For-profit companies (industry),http://dx.doi.org/10.13039/100007640
4540,Ministère de l'Intérieur,Europe,fra,National government,http://dx.doi.org/10.13039/100007641
4541,Department of Safety and Road Traffic,Europe,fra,National government,http://dx.doi.org/10.13039/100007642
4542,"Ministry of Agriculture, Agrifood, and Forestry",Europe,fra,National government,http://dx.doi.org/10.13039/100007643
4543,Conseil Canadien de la Santé Porcine,Americas,can,Other non-profit organizations,http://dx.doi.org/10.13039/100007644
4544,Conseil Cri de la Santé et des Services Sociaux de la Baie James,Americas,can,Local government,http://dx.doi.org/10.13039/100007645
4545,FOS,Americas,usa,Associations and societies (private and public),http://dx.doi.org/10.13039/100007646
4546,University of Cumbria,Europe,gbr,Universities (academic only),http://dx.doi.org/10.13039/100007647
4547,Durban University of Technology,Africa,zaf,Universities (academic only),http://dx.doi.org/10.13039/100007648
4548,École Normale Supérieure,Europe,fra,Universities (academic only),http://dx.doi.org/10.13039/100007649
4549,FUNCIS,Europe,esp,"Trusts, charities, foundations (both public and private)",http://dx.doi.org/10.13039/100007650
4550,German-Russian Interdisciplinary Science Center,Europe,deu,Universities (academic only),http://dx.doi.org/10.13039/100007651
4551,INIA,Europe,esp,Local government,http://dx.doi.org/10.13039/100007652
4552,Cryptobranchid Interest Group,Americas,usa,Other non-profit organizations,http://dx.doi.org/10.13039/100007653
4553,"Ministry of Transport, Czech Republic",Europe,cze,National government,http://dx.doi.org/10.13039/100007654
4554,České Vysoké Učení Technické v Praze,Europe,cze,Universities (academic only),http://dx.doi.org/10.13039/100007655
4555,Loyola University Chicago,Americas,usa,Universities (academic only),http://dx.doi.org/10.13039/100007656
4556,SSOM,Americas,usa,Universities (academic only),http://dx.doi.org/10.13039/100007657
4557,Baxter Healthcare Corporation,Americas,usa,For-profit companies (industry),http://dx.doi.org/10.13039/100007658
4558,Bayer Corporation,Americas,usa,For-profit companies (industry),http://dx.doi.org/10.13039/100007659
4559,Bayhill Therapeutics,Americas,usa,For-profit companies (industry),http://dx.doi.org/10.13039/100007660
4560,Behrakis Foundation,Americas,usa,"Trusts, charities, foundations (both public and private)",http://dx.doi.org/10.13039/100007661
4561,Agrigenetics Research Associates,Americas,usa,Associations and societies (private and public),http://dx.doi.org/10.13039/100007662
4562,FDOT,Americas,usa,Local government,http://dx.doi.org/10.13039/100007663
4563,Georgia Department of Transportation,Americas,usa,Local government,http://dx.doi.org/10.13039/100007664
4564,International Academy of Oral Medicine and Toxicology,Americas,usa,Other non-profit organizations,http://dx.doi.org/10.13039/100007665
4565,University of Northern Colorado,Americas,usa,Universities (academic only),http://dx.doi.org/10.13039/100007666
4566,Yerkes Research Center,Americas,usa,Universities (academic only),http://dx.doi.org/10.13039/100007667
4567,BCFRST Foundation,Americas,can,"Trusts, charities, foundations (both public and private)",http://dx.doi.org/10.13039/100007668
4568,BHCRI,Americas,can,Research institutes and centers,http://dx.doi.org/10.13039/100007669
4569,DMRF,Americas,can,"Trusts, charities, foundations (both public and private)",http://dx.doi.org/10.13039/100007670
4570,Fondation du CHUM,Americas,can,"Trusts, charities, foundations (both public and private)",http://dx.doi.org/10.13039/100007671
4571,"Lékařská Fakulta v Plzni, Univerzita Karlova",Europe,cze,Local government,http://dx.doi.org/10.13039/100007672
4572,ArcelorMittal Maizières Research,Europe,fra,For-profit companies (industry),http://dx.doi.org/10.13039/100007673
4573,NIAB,Europe,gbr,Other non-profit organizations,http://dx.doi.org/10.13039/100007674
4574,International Center for Genetic Engineering and Biotechnology,Europe,ita,Other non-profit organizations,http://dx.doi.org/10.13039/100007675
4575,Asahi Group Holdings,Asia,jpn,For-profit companies (industry),http://dx.doi.org/10.13039/100007676
4576,Arcelor,Europe,lux,For-profit companies (industry),http://dx.doi.org/10.13039/100007677
4577,IRB Barcelona,Europe,esp,Local government,http://dx.doi.org/10.13039/100007678
4578,"Ministry of Energy, Development and Environmental Protection",Europe,srb,National government,http://dx.doi.org/10.13039/100007679
4579,NMRC,Americas,usa,National government,http://dx.doi.org/10.13039/100007680
4580,Florida International University,Americas,usa,Universities (academic only),http://dx.doi.org/10.13039/100007681
4581,Simpson Strong-Tie,Americas,usa,For-profit companies (industry),http://dx.doi.org/10.13039/100007682
4582,Nihon University,Asia,jpn,Universities (academic only),http://dx.doi.org/10.13039/100007683
4583,公益財団法人 旭硝子財団,Asia,jpn,"Trusts, charities, foundations (both public and private)",http://dx.doi.org/10.13039/100007684
4584,Aso Group,Asia,jpn,For-profit companies (industry),http://dx.doi.org/10.13039/100007685
4585,Aso Information System Company,Asia,jpn,For-profit companies (industry),http://dx.doi.org/10.13039/100007686
4586,Korean Diabetes Association,Asia,kor,Associations and societies (private and public),http://dx.doi.org/10.13039/100007687
4587,AUB,Asia,lbn,Universities (academic only),http://dx.doi.org/10.13039/100007688
4588,UA,Europe,prt,Universities (academic only),http://dx.doi.org/10.13039/100007689
4589,CMA-UBI,Europe,prt,Local government,http://dx.doi.org/10.13039/100007690
4590,University of Beira Interior,Europe,prt,Universities (academic only),http://dx.doi.org/10.13039/100007691
4591,ASSAB Pacific,Asia,sgp,For-profit companies (industry),http://dx.doi.org/10.13039/100007692
4592,King Chulalongkorn Memorial Hospital,Asia,tha,Other non-profit organizations,http://dx.doi.org/10.13039/100007693
4593,AVRDC,Asia,twn,Other non-profit organizations,http://dx.doi.org/10.13039/100007694
4594,Institute for New Economic Thinking,Americas,usa,Other non-profit organizations,http://dx.doi.org/10.13039/100007695
4595,Society for Research and Education in Primary Care Internal Medicine,Americas,usa,Associations and societies (private and public),http://dx.doi.org/10.13039/100007696
4596,Society of General Internal Medicine,Americas,usa,Associations and societies (private and public),http://dx.doi.org/10.13039/100007697
4597,UF,Americas,usa,Universities (academic only),http://dx.doi.org/10.13039/100007698
4598,University of Georgia,Americas,usa,Universities (academic only),http://dx.doi.org/10.13039/100007699
4599,CFAR,Americas,usa,Universities (academic only),http://dx.doi.org/10.13039/100007700
4600,American Society of Mechanical Engineers,Americas,usa,Associations and societies (private and public),http://dx.doi.org/10.13039/100007701
4601,Arthur Temple College of Forestry and Agriculture Stephen F. Austin State University,Americas,usa,Universities (academic only),http://dx.doi.org/10.13039/100007702
4602,NCSU,Americas,usa,Universities (academic only),http://dx.doi.org/10.13039/100007703
4603,SFA,Americas,usa,Universities (academic only),http://dx.doi.org/10.13039/100007704
4604,Astellas Pharma Global Development,Americas,usa,For-profit companies (industry),http://dx.doi.org/10.13039/100007705
4605,BCV,Americas,ven,For-profit companies (industry),http://dx.doi.org/10.13039/100007706
4606,"University of California, Davis",Americas,usa,Universities (academic only),http://dx.doi.org/10.13039/100007707
4607,CNBD,Americas,usa,Local government,http://dx.doi.org/10.13039/100007708
4608,Michigan State University,Americas,usa,Universities (academic only),http://dx.doi.org/10.13039/100007709
4609,Uconn,Americas,usa,Universities (academic only),http://dx.doi.org/10.13039/100007710
4610,Barker Welfare Foundation,Americas,usa,"Trusts, charities, foundations (both public and private)",http://dx.doi.org/10.13039/100007711
4611,Bangkok University,Asia,tha,Universities (academic only),http://dx.doi.org/10.13039/100007712
4612,Bahauddin Zakariya University,Asia,pak,Universities (academic only),http://dx.doi.org/10.13039/100007713
4613,OIST Promotion Corporation,Asia,jpn,Other non-profit organizations,http://dx.doi.org/10.13039/100007714
4614,Okinawa Institute of Science and Technology School Corporation,Asia,jpn,Universities (academic only),http://dx.doi.org/10.13039/100007715
4615,Banyu Life Science Foundation International,Asia,jpn,"Trusts, charities, foundations (both public and private)",http://dx.doi.org/10.13039/100007716
4616,"Islamic Azad University, Shahrekord Branch",Asia,irn,Universities (academic only),http://dx.doi.org/10.13039/100007717
4617,"Department of Economics, University of Oxford",Europe,gbr,Universities (academic only),http://dx.doi.org/10.13039/100007718
4618,University of East London,Europe,gbr,Universities (academic only),http://dx.doi.org/10.13039/100007719
4619,BJC,Americas,can,Associations and societies (private and public),http://dx.doi.org/10.13039/100007720
4620,CSMA,Americas,usa,"Trusts, charities, foundations (both public and private)",http://dx.doi.org/10.13039/100007721
4621,ACOG,Americas,usa,"Trusts, charities, foundations (both public and private)",http://dx.doi.org/10.13039/100007722
4622,Takeda Pharmaceutical Company Limited,Americas,usa,For-profit companies (industry),http://dx.doi.org/10.13039/100007723
4623,OxCarre,Europe,gbr,Universities (academic only),http://dx.doi.org/10.13039/100007724
4624,Astrobiology Research Trust,Americas,usa,Other non-profit organizations,http://dx.doi.org/10.13039/100007725
4625,ASD,Americas,usa,National government,http://dx.doi.org/10.13039/100007726
4626,"Biodesign Institute, Arizona State University",Americas,usa,Universities (academic only),http://dx.doi.org/10.13039/100007727
4627,Pennsylvania Athletic Trainers' Society,Americas,usa,Associations and societies (private and public),http://dx.doi.org/10.13039/100007728
4628,Atmel Corporation,Americas,usa,For-profit companies (industry),http://dx.doi.org/10.13039/100007729
4629,American Medical Systems,Americas,usa,For-profit companies (industry),http://dx.doi.org/10.13039/100007730
4630,Endo International plc,Europe,irl,For-profit companies (industry),http://dx.doi.org/10.13039/100007731
4631,AMDF,Americas,usa,"Trusts, charities, foundations (both public and private)",http://dx.doi.org/10.13039/100007732
4632,American Pacific Corporation,Americas,usa,For-profit companies (industry),http://dx.doi.org/10.13039/100007733
4633,AMSI,Americas,usa,Other non-profit organizations,http://dx.doi.org/10.13039/100007734
4634,AUGS,Americas,usa,Associations and societies (private and public),http://dx.doi.org/10.13039/100007735
4635,American Welding Society,Americas,usa,Associations and societies (private and public),http://dx.doi.org/10.13039/100007736
4636,St. Jude Children's Research Hospital,Americas,usa,Other non-profit organizations,http://dx.doi.org/10.13039/100007737
4637,FEE,Americas,usa,"Trusts, charities, foundations (both public and private)",http://dx.doi.org/10.13039/100007738
4638,Aspen Center for Physics,Americas,usa,Other non-profit organizations,http://dx.doi.org/10.13039/100007739
4639,Beaumont,Americas,usa,Other non-profit organizations,http://dx.doi.org/10.13039/100007740
4640,BTI,Americas,usa,Other non-profit organizations,http://dx.doi.org/10.13039/100007741
4641,BioClinica,Americas,usa,Other non-profit organizations,http://dx.doi.org/10.13039/100007742
4642,MVGA,Americas,usa,Associations and societies (private and public),http://dx.doi.org/10.13039/100007743
4643,University of Maryland Extension,Americas,usa,Universities (academic only),http://dx.doi.org/10.13039/100007744
4644,Massachusetts Lions Eye Research Fund,Americas,usa,Other non-profit organizations,http://dx.doi.org/10.13039/100007745
4645,La Fundación W.K. Kellogg,Americas,usa,"Trusts, charities, foundations (both public and private)",http://dx.doi.org/10.13039/100007746
4646,University of Utah,Americas,usa,Universities (academic only),http://dx.doi.org/10.13039/100007747
4647,Land Economics Foundation,Americas,usa,"Trusts, charities, foundations (both public and private)",http://dx.doi.org/10.13039/100007748
4648,Lambda Alpha International,Americas,usa,International organizations,http://dx.doi.org/10.13039/100007749
4649,CTL,Americas,usa,Universities (academic only),http://dx.doi.org/10.13039/100007750
4650,Axiscades Engineering Technologies,Asia,ind,For-profit companies (industry),http://dx.doi.org/10.13039/100007751
4651,Axis,Asia,ind,For-profit companies (industry),http://dx.doi.org/10.13039/100007752
4652,UEF,Europe,fin,Local government,http://dx.doi.org/10.13039/100007753
4653,Mintek,Africa,zaf,For-profit companies (industry),http://dx.doi.org/10.13039/100007754
4654,University of Arkansas System Division of Agriculture,Americas,usa,Universities (academic only),http://dx.doi.org/10.13039/100007755
4655,The University of Arkansas,Americas,usa,Universities (academic only),http://dx.doi.org/10.13039/100007756
4656,ICYF,Americas,usa,Universities (academic only),http://dx.doi.org/10.13039/100007757
4657,"Frances McClelland Institute for Children, Youth, and Families",Americas,usa,Universities (academic only),http://dx.doi.org/10.13039/100007758
4658,Davis Heart and Lung Research Institute,Americas,usa,Universities (academic only),http://dx.doi.org/10.13039/100007759
4659,"College of Medicine Office of Research, Ohio State University",Americas,usa,Universities (academic only),http://dx.doi.org/10.13039/100007760
4660,Center for Nanoscale Science and Technology,Americas,usa,National government,http://dx.doi.org/10.13039/100007761
4661,Communications Technology Laboratory,Americas,usa,National government,http://dx.doi.org/10.13039/100007762
4662,EL,Americas,usa,National government,http://dx.doi.org/10.13039/100007763
4663,Information Technology Laboratory,Americas,usa,National government,http://dx.doi.org/10.13039/100007764
4664,K-State,Americas,usa,Universities (academic only),http://dx.doi.org/10.13039/100007765
4665,KSURF,Americas,usa,Local government,http://dx.doi.org/10.13039/100007766
4666,Material Measurement Laboratory,Americas,usa,National government,http://dx.doi.org/10.13039/100007767
4667,NCNR,Americas,usa,National government,http://dx.doi.org/10.13039/100007768
4668,Physical Measurement Laboratory,Americas,usa,National government,http://dx.doi.org/10.13039/100007769
4669,Ministry of Science and Environmental Protection,Europe,srb,National government,http://dx.doi.org/10.13039/100007770
4670,Śląski Uniwersytet Medyczny,Europe,pol,Local government,http://dx.doi.org/10.13039/100007771
4671,"Danone Research, Center for Specialised Nutrition",Europe,nld,Other non-profit organizations,http://dx.doi.org/10.13039/100007772
4672,Groupe Danone,Europe,fra,For-profit companies (industry),http://dx.doi.org/10.13039/100007773
4673,ICyTDF,Americas,mex,Local government,http://dx.doi.org/10.13039/100007774
4674,Ministry of Construction and Transportation,Asia,kor,National government,http://dx.doi.org/10.13039/100007775
4675,"Deanship of Academic Research, University of Jordan",Asia,jor,Universities (academic only),http://dx.doi.org/10.13039/100007776
4676,Biocon Ltd,Asia,ind,For-profit companies (industry),http://dx.doi.org/10.13039/100007777
4677,"Centre for Engineering Research and Development, College of Engineering Trivandrum Campus",Asia,ind,Local government,http://dx.doi.org/10.13039/100007778
4678,CET,Asia,ind,Universities (academic only),http://dx.doi.org/10.13039/100007779
4679,"भारतीय विज्ञान संस्थान, बेंगलुरु",Asia,ind,Local government,http://dx.doi.org/10.13039/100007780
4680,North-Eastern Hill University,Asia,ind,Universities (academic only),http://dx.doi.org/10.13039/100007781
4681,The California Natural Resources Agency,Americas,usa,Local government,http://dx.doi.org/10.13039/100007782
4682,IA,Americas,usa,National government,http://dx.doi.org/10.13039/100007783
4683,SHAPE America,Americas,usa,"Trusts, charities, foundations (both public and private)",http://dx.doi.org/10.13039/100007784
4684,Jinan Science & Technology Bureau,Asia,chn,Local government,http://dx.doi.org/10.13039/100007785
4685,National Center for Child Health and Development,Asia,jpn,National government,http://dx.doi.org/10.13039/100007786
4686,NRC,Africa,egy,National government,http://dx.doi.org/10.13039/100007787
4687,Blood Disease Research Foundation,Europe,fin,"Trusts, charities, foundations (both public and private)",http://dx.doi.org/10.13039/100007788
4688,CSUSM,Americas,usa,Universities (academic only),http://dx.doi.org/10.13039/100007789
4689,Central Connecticut State University,Americas,usa,Universities (academic only),http://dx.doi.org/10.13039/100007790
4690,Hosei University,Asia,jpn,Universities (academic only),http://dx.doi.org/10.13039/100007791
4691,SCCM,Americas,usa,Associations and societies (private and public),http://dx.doi.org/10.13039/100007792
4692,KGJF,Europe,nor,"Trusts, charities, foundations (both public and private)",http://dx.doi.org/10.13039/100007793
4693,Memory of Oscar and Lili Lamm,Europe,swe,"Trusts, charities, foundations (both public and private)",http://dx.doi.org/10.13039/100007794
4694,SIMR,Americas,usa,Other non-profit organizations,http://dx.doi.org/10.13039/100007795
4695,Huaihai Institute of Technology,Asia,chn,Universities (academic only),http://dx.doi.org/10.13039/100007796
4696,HY,Europe,fin,Local government,http://dx.doi.org/10.13039/100007797
4697,Research Foundation of the University of Helsinki,Europe,fin,"Trusts, charities, foundations (both public and private)",http://dx.doi.org/10.13039/100007798
4698,Center for the Study of Women,Americas,usa,Universities (academic only),http://dx.doi.org/10.13039/100007799
4699,Chicago Diabetes Research and Training Center,Americas,usa,Universities (academic only),http://dx.doi.org/10.13039/100007800
4700,"Fundación Séneca, Agencia Regional de Ciencia y Tecnología",Europe,esp,"Trusts, charities, foundations (both public and private)",http://dx.doi.org/10.13039/100007801
4701,IFO,Asia,jpn,Other non-profit organizations,http://dx.doi.org/10.13039/100007802
4702,The Society for Research into Higher Education,Europe,gbr,Associations and societies (private and public),http://dx.doi.org/10.13039/100007803
4703,Oregon Clinical & Translational Research Institute,Americas,usa,Universities (academic only),http://dx.doi.org/10.13039/100007804
4704,Green Automotive Company,Americas,usa,For-profit companies (industry),http://dx.doi.org/10.13039/100007805
4705,Partners Healthcare,Americas,usa,Other non-profit organizations,http://dx.doi.org/10.13039/100007806
4706,MGH Institute of Health Professions,Americas,usa,Other non-profit organizations,http://dx.doi.org/10.13039/100007807
4707,Soil Fertility Research and Education Advisory Board,Americas,usa,Local government,http://dx.doi.org/10.13039/100007808
4708,A&M-Corpus Christi,Americas,usa,Universities (academic only),http://dx.doi.org/10.13039/100007809
4709,UNC Wilmington,Americas,usa,Universities (academic only),http://dx.doi.org/10.13039/100007810
4710,"School of Nursing, University of North Carolina Wilmington",Americas,usa,Universities (academic only),http://dx.doi.org/10.13039/100007811
4711,University of Washington,Americas,usa,Universities (academic only),http://dx.doi.org/10.13039/100007812
4712,Center for AIDS Research,Americas,usa,Universities (academic only),http://dx.doi.org/10.13039/100007813
4713,"Emory Alcohol and Lung Biology Center, Emory University School of Medicine",Americas,usa,Universities (academic only),http://dx.doi.org/10.13039/100007814
4714,D-CFAR,Americas,usa,Local government,http://dx.doi.org/10.13039/100007815
4715,Alcon,Americas,usa,For-profit companies (industry),http://dx.doi.org/10.13039/100007816
4716,ARI,Americas,usa,For-profit companies (industry),http://dx.doi.org/10.13039/100007817
4717,Alere,Americas,usa,For-profit companies (industry),http://dx.doi.org/10.13039/100007818
4718,Allergan Inc.,Europe,irl,For-profit companies (industry),http://dx.doi.org/10.13039/100007819
4719,ALR,Americas,usa,Other non-profit organizations,http://dx.doi.org/10.13039/100007820
4720,AlloSource,Americas,usa,Other non-profit organizations,http://dx.doi.org/10.13039/100007821
4721,Almond Board of California,Americas,usa,Associations and societies (private and public),http://dx.doi.org/10.13039/100007822
4722,Alltech,Americas,usa,For-profit companies (industry),http://dx.doi.org/10.13039/100007823
4723,ACC,Americas,usa,Associations and societies (private and public),http://dx.doi.org/10.13039/100007824
4724,American College of Veterinary Internal Medicine,Americas,usa,Associations and societies (private and public),http://dx.doi.org/10.13039/100007825
4725,American Glaucoma Society,Americas,usa,Other non-profit organizations,http://dx.doi.org/10.13039/100007826
4726,ACG,Americas,usa,Associations and societies (private and public),http://dx.doi.org/10.13039/100007827
4727,Kansas Bioscience Authority,Americas,usa,Other non-profit organizations,http://dx.doi.org/10.13039/100007828
4728,K-State,Americas,usa,Universities (academic only),http://dx.doi.org/10.13039/100007829
4729,KSURF,Americas,usa,"Trusts, charities, foundations (both public and private)",http://dx.doi.org/10.13039/100007830
4730,Capital Health,Americas,can,Other non-profit organizations,http://dx.doi.org/10.13039/100007831
4731,Central Taiwan University of Science and Technology,Asia,twn,Universities (academic only),http://dx.doi.org/10.13039/100007832
4732,Hamad Medical Corporation,Asia,qat,National government,http://dx.doi.org/10.13039/100007833
4733,Ningbo Natural Science Foundation,Asia,chn,Local government,http://dx.doi.org/10.13039/100007834
4734,Wenzhou Medical University,Asia,chn,Universities (academic only),http://dx.doi.org/10.13039/100007835
4735,Shanghai Key Laboratory of Intelligent Information Processing,Asia,chn,Local government,http://dx.doi.org/10.13039/100007836
4736,Tun Hussein Onn University of Malaysia,Asia,mys,Universities (academic only),http://dx.doi.org/10.13039/100007837
4737,Heilongjiang University,Asia,chn,Universities (academic only),http://dx.doi.org/10.13039/100007838
4738,Zhongnan University of Economics and Law,Asia,chn,Universities (academic only),http://dx.doi.org/10.13039/100007839
4739,Bioland,Asia,kor,For-profit companies (industry),http://dx.doi.org/10.13039/100007840
4740,Council of Agriculture of Executive Yuan,Asia,twn,National government,http://dx.doi.org/10.13039/100007841
4741,Utenriksdepartementet,Europe,nor,National government,http://dx.doi.org/10.13039/100007842
4742,Norwegian Agency for Development Cooperation,Europe,nor,National government,http://dx.doi.org/10.13039/100007843
4743,NSYSU,Asia,twn,Universities (academic only),http://dx.doi.org/10.13039/100007844
4744,MCIT,Africa,egy,National government,http://dx.doi.org/10.13039/100007845
4745,National Telecommunication Regulatory Authority,Africa,egy,National government,http://dx.doi.org/10.13039/100007846
4746,Natural Science Foundation of Jilin Province of China,Asia,chn,"Trusts, charities, foundations (both public and private)",http://dx.doi.org/10.13039/100007847
4747,METROWEST HEALTH FOUNDATION INC,Americas,usa,"Trusts, charities, foundations (both public and private)",http://dx.doi.org/10.13039/100007848
4748,Respiratory Health Association,Americas,usa,Associations and societies (private and public),http://dx.doi.org/10.13039/100007849
4749,Waitt Foundation,Americas,usa,"Trusts, charities, foundations (both public and private)",http://dx.doi.org/10.13039/100007850
4750,APF,Americas,usa,"Trusts, charities, foundations (both public and private)",http://dx.doi.org/10.13039/100007851
4751,Whitaker International Program,Americas,usa,"Trusts, charities, foundations (both public and private)",http://dx.doi.org/10.13039/100007852
4752,Alcatel-Lucent Bell Labs,Americas,usa,For-profit companies (industry),http://dx.doi.org/10.13039/100007853
4753,Nihon University School of Dentistry,Asia,jpn,Universities (academic only),http://dx.doi.org/10.13039/100007854
4754,AHPSR,Europe,che,International organizations,http://dx.doi.org/10.13039/100007855
4755,Baylor College of Medicine,Americas,usa,Universities (academic only),http://dx.doi.org/10.13039/100007856
